Divisor (X-axis),Normalized Distance (Y-axis),Is_Local_Minima
118.5,179.6582278481015,False
118.0,179.1355932203392,False
117.5,178.58297872340438,False
117.0,178.0256410256411,False
116.5,177.40343347639464,False
116.0,176.78448275862064,False
115.5,176.16450216450232,False
115.0,175.5478260869572,False
114.5,174.93013100436684,False
114.0,174.31578947368442,False
113.5,173.6740088105726,False
113.0,173.0265486725663,False
112.5,172.37333333333333,False
112.0,171.732142857143,False
111.5,171.0582959641256,False
111.0,170.37837837837836,False
110.5,169.66968325791856,False
110.0,168.96363636363628,False
109.5,168.2420091324199,False
109.0,167.51376146789005,False
108.5,166.77880184331738,False
108.0,166.04629629629645,False
107.5,165.27906976744177,False
107.0,164.51401869158886,False
106.5,163.755868544601,False
106.0,162.9905660377359,False
105.5,162.21327014218008,False
105.0,161.43809523809526,False
104.5,160.65071770334967,False
104.0,159.87500000000017,False
103.5,159.05314009661845,False
103.0,158.2135922330096,False
102.5,157.36097560975594,False
102.0,156.4999999999999,False
101.5,155.63546798029557,False
101.0,154.75247524752464,False
100.5,153.84577114427867,False
100.0,152.94999999999996,False
99.5,152.01005025125642,False
99.0,151.05050505050477,False
98.5,150.07106598984754,False
98.0,149.07142857142856,False
97.5,148.05641025641046,False
97.0,147.03092783505144,False
96.5,145.96891191709827,False
96.0,144.89583333333343,False
95.5,143.81675392670152,False
95.0,142.72631578947363,False
94.5,141.60846560846548,False
94.0,140.48936170212758,False
93.5,139.33689839572193,False
93.0,138.16129032258058,False
92.5,136.96756756756756,False
92.0,135.72826086956516,False
91.5,134.48087431693983,False
91.0,133.21978021978018,False
90.5,131.92817679558016,False
90.0,130.65555555555557,False
89.5,129.27932960893844,False
89.0,127.89887640449435,False
88.5,126.50282485875697,False
88.0,125.06818181818183,False
87.5,123.58285714285707,False
87.0,122.08045977011511,False
86.5,120.53757225433523,False
86.0,118.95348837209298,False
85.5,117.36842105263159,False
85.0,115.7647058823531,False
84.5,114.14201183431958,False
84.0,112.5,False
83.5,110.79640718562874,False
83.0,109.08433734939756,False
82.5,107.32727272727266,False
82.0,105.5487804878049,False
81.5,103.7791411042945,False
81.0,101.97530864197546,False
80.5,100.19254658385104,False
80.0,98.32500000000007,False
79.5,96.44025157232707,False
79.0,94.5949367088608,False
78.5,92.80254777070066,False
78.0,91.08974358974372,False
77.5,89.5935483870968,False
77.0,88.19480519480528,False
76.5,86.79738562091536,False
76.0,85.3947368421053,False
75.5,83.98675496688716,False
75.0,82.59999999999998,False
74.5,81.28859060402692,False
74.0,80.10810810810806,False
73.5,79.0544217687075,False
73.0,77.97260273972583,False
72.5,76.96551724137925,False
72.0,75.95833333333331,False
71.5,75.00699300699294,False
71.0,74.02816901408464,False
70.5,73.19148936170183,False
70.0,72.42857142857147,False
69.5,71.93525179856111,False
69.0,71.50724637681151,False
68.5,71.12408759124091,False
68.0,70.86764705882356,False
67.5,70.60740740740744,False
67.0,70.53731343283579,True
